TargetID	TargetName	SMILES	AnalogSeriesID	pKi
CHEMBL233	Mu opioid receptor	C#CCN1CCC23CCCCC2C1Cc4c3cc(cc4)O	1039	11.52
CHEMBL233	Mu opioid receptor	C#CCN1CN(C2(C1=O)CCN(CC2)C(c3ccccc3)c4ccccc4)c5ccccc5	24317	5.37
CHEMBL233	Mu opioid receptor	CC(=NC(CO)C(=NCC1CC23CCC1(C4C25CCN(C3Cc6c5c(c(cc6)O)O4)CC7CC7)OC)O)O	23111	8.23
CHEMBL233	Mu opioid receptor	CC(=NC(Cc1ccccc1)C(=NCC2CC34CCC2(C5C36CCN(C4Cc7c6c(c(cc7)O)O5)CC8CC8)OC)O)O	23111	9.44
CHEMBL233	Mu opioid receptor	CC(=O)CN1CN(C2(C1=O)CCN(CC2)C3CCC(c4c3cccc4)(C)C)c5ccccc5	10988	7.85
CHEMBL233	Mu opioid receptor	CC(=O)N(C)CC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	5597	5.58
CHEMBL233	Mu opioid receptor	CC(=O)N(C)c1nc2cc3c(cc2s1)CC4C5C3(CCCC5)CCN4CC6CC6	3593	6.96
CHEMBL233	Mu opioid receptor	CC(=O)N(CCCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)CC4CCCCC4	1255	8
CHEMBL233	Mu opioid receptor	CC(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)CC45CC6CC(C4)CC(C6)C5	20406	8
CHEMBL233	Mu opioid receptor	CC(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)O)CC45CC6CC(C4)CC(C6)C5	23243	8
CHEMBL233	Mu opioid receptor	CC(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)O)CC4CCCCC4	9598	8
CHEMBL233	Mu opioid receptor	CC(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)O)Cc4c(cccc4F)F	16922	8
CHEMBL233	Mu opioid receptor	CC(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)O)Cc4ccccc4	10414	8
CHEMBL233	Mu opioid receptor	CC(=O)N1CCN(C2C1CCCC2N3CCCC3)C(=O)Cc4ccc(c(c4)Cl)Cl	4699	5.55
CHEMBL233	Mu opioid receptor	CC(=O)N1Cc2ccccc2CC1CN3CCC4(CCc5c4cccc5)CC3	7624	7.13
CHEMBL233	Mu opioid receptor	CC(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)NC(Cc3ccccc3)C(=O)N	16807	7.81
CHEMBL233	Mu opioid receptor	CC(=O)NC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(cn5)F	17753	6.22
CHEMBL233	Mu opioid receptor	CC(=O)NC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccn5	16702	6.51
CHEMBL233	Mu opioid receptor	CC(=O)NC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)c4ccoc4)C)C(=O)OC	10510	5.38
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)Cc5ccc(cc5)F	7843	6.11
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)Cc5ccccc5	18554	6.34
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5c(cccn5)CN6CCCCC6	3338	6.12
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(cc5)OC	5597	5.62
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(cn5)OC	7142	5.46
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cccc(n5)F	7000	5.89
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cccc(n5)OC	7142	6.6
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	5597	6.11
CHEMBL233	Mu opioid receptor	CC(=O)NCC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccn5	7142	6.43
CHEMBL233	Mu opioid receptor	CC(=O)NCc1ccccc1CC(=O)N(C)C(CN2CCCC2)c3ccccc3	24432	5.91
CHEMBL233	Mu opioid receptor	CC(=O)Nc1nc2c(s1)CC3C4Cc5ccc(cc5C3(C2)CCN4CC6CC6)O	14106	10.07
CHEMBL233	Mu opioid receptor	CC(=O)Nc1nc2c(s1)CC3C4Cc5ccc(cc5C3(C2)CCN4CC6CC6)OC	14106	8.18
CHEMBL233	Mu opioid receptor	CC(=O)Nc1nc2cc3c(cc2s1)CC4C5C3(CCCC5)CCN4CC6CC6	3593	7.24
CHEMBL233	Mu opioid receptor	CC(=O)Nc1nc2cc3c(cc2s1)CC4C5C3(CCCC5)CCN4CCCF	3593	7.82
CHEMBL233	Mu opioid receptor	CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C(=O)c4cccc(c4)OC(F)(F)F)C)C(=O)OC	18171	5.32
CHEMBL233	Mu opioid receptor	CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C(=O)c4cccc(c4)OC)C)C(=O)OC	18171	5.51
CHEMBL233	Mu opioid receptor	CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C(=O)c4ccccc4)C)C(=O)OC	18171	5.83
CHEMBL233	Mu opioid receptor	CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C(=O)c4ccccc4O)C)C(=O)OC	18171	5.44
CHEMBL233	Mu opioid receptor	CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)c4ccoc4)C)C(=O)OC	10510	5.61
CHEMBL233	Mu opioid receptor	CC(=O)OCC(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)O)Cc4ccccc4	10414	8
CHEMBL233	Mu opioid receptor	CC(C(=NCC1CC23CCC1(C4C25CCN(C3Cc6c5c(c(cc6)OC)O4)CC7CC7)OC)O)N	5307	6.72
CHEMBL233	Mu opioid receptor	CC(C(=O)N(CCCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)Cc4ccccc4)O	9312	8
CHEMBL233	Mu opioid receptor	CC(C(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)CC4CCC(CC4)(F)F)O	15131	8
CHEMBL233	Mu opioid receptor	CC(C(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)CC4CCC4)O	18600	8
CHEMBL233	Mu opioid receptor	CC(C(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)Cc4c(cccc4F)F)O	13708	8
CHEMBL233	Mu opioid receptor	CC(C(=O)N(CCN1C2CCC1CC(C2)c3cccc(c3)C(=O)N)Cc4ccccc4)O	17837	8
CHEMBL233	Mu opioid receptor	CC(C(=O)N(c1ccccc1)C2(CCN(CC2)CCc3cccs3)COC)F	13494	9.89
CHEMBL233	Mu opioid receptor	CC(C(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccccc3)F	8847	8.68
CHEMBL233	Mu opioid receptor	CC(C(=O)N)NC(=O)C(C)NC(=O)C1CCCN1C(=O)C(Cc2ccc(cc2)O)N	13520	6.15
CHEMBL233	Mu opioid receptor	CC(C(=O)N)NC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)C3CCCN3C(=O)C(Cc4ccc(cc4)O)N	4208	7.14
CHEMBL233	Mu opioid receptor	CC(C(=O)N)NC(=O)c1cc2c([nH]c1=O)CC34CCN(C(C3C2)Cc5c4cc(cc5)O)CC6CC6	14744	9.25
CHEMBL233	Mu opioid receptor	CC(C(=O)NC(Cc1ccccc1)C(=O)N)NC(=O)C2CCCN2C(=O)C(Cc3ccc(cc3)O)N	13520	6.65
CHEMBL233	Mu opioid receptor	CC(C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(CCSC)C(=O)O)NC(=O)C(Cc2ccc3c(c2)sc(n3)N)N	13535	7
CHEMBL233	Mu opioid receptor	CC(C(=O)NCc1ccccc1)NC(=O)C(Cc2c[nH]c3c2cccc3)NC(=O)C4CCCN4C(=O)C(Cc5ccc(cc5)O)N	4208	8.34
