tranche,zincid,SMILES
H24P200,ZINCoq00000mpIBJ,C=CC(C)(C)CC(=O)N1CCSC[C@@H]1C(=O)NC[C@H]1C[C@@H](OC)C1
H25P130,ZINCpj00000SOeJh,O=C(NCCC#CCO)[C@H]1[C@@H]2C[C@H]1CN2C(=O)C1(F)CCCCCC1
H24P150,ZINCol00000op9rF,Cc1cnc(CNC(=O)[C@H]2C[C@@H](Nc3ncc(F)c(C)n3)C2)cn1
H23P050,ZINCnb00000gEhlq,CCCC[C@@H](O)C(=O)N1CC=C[C@H]1CNC(=O)CC1(CO)CC1
H25M000,ZINCp500000VW6FM,C[C@H]1CN2CCN1[C@H](C(=O)NC/C=C/CNC(=O)CC1CC(=O)C1)C2
H21P210,ZINClr00000g4co4,C[C@H]1CC2(CCN(Cc3ccn4ncnc4c3)CC2)CO1
H25P150,ZINCpl00000SOeJj,O=C(NCCC#CCO)[C@@H]1[C@H]2CN(C(=O)CCC3CCCCC3)C[C@H]21
H24P140,ZINCok00000op9rT,Cc1cncc(NC(=O)[C@H]2C[C@@H](O)CN2Cc2nn(C)cc2Br)c1
H25P130,ZINCpj00000SOeK3,O=C(NCCCCC(=O)N1CC[C@@]2(CCO2)C1)[C@H](O)c1ccccc1
H25P160,ZINCpm00000SJ7JN,C=C[C@H](OC)C(=O)N[C@H]1CCC[C@H](NC(=O)[C@@](C)(F)c2ccon2)C1
H24P130,ZINCoj00000op9rV,Cc1cnc(CNC(=O)[C@H]2CCN2Cc2ccc3ncnn3c2)s1
H24P210,ZINCor00000mpIBY,CCC(CC)CC(=O)N1CC(SC)(C(=O)N(C)Cc2ncc[nH]2)C1
H25M000,ZINCp500002sYBSo,COC(=O)[C@@]1(C)CCN1C(=O)[C@H]1C[C@H]1CNC(=O)C1(OC(C)=O)CC1
H25P130,ZINCpj00000SOeJS,O=C(NC/C=C/CC(=O)N1CCC12CC(O)C2)C(=O)C1CCCCC1
H25M000,ZINCp500000VW6Ga,C[C@@H]1CNc2c(C(=O)NC[C@H]3CCN(Cc4nn[nH]n4)C3)cnn2C1
H24P180,ZINCoo00000si4fm,CCOC(=O)[C@@H]1C[C@]12C[C@@H]2C(=O)N[C@H](CO)[C@H](C)c1ccccc1
H23P050,ZINCnb00000gEfxb,CCCCOCC(=O)NC1(CO)CN(C(=O)[C@@H]2C[C@@H]3CC[C@@H]32)C1
H20P180,ZINCko00001bPvgV,CN(C)C(=O)C(C)(C)CNC(=O)C[C@H]1C[C@H]2C=C[C@H]1C2
H25P360,ZINCpG00000FExrn,C[C@]1(Br)C[C@H]1CN(CC[C@@H]1CCC[C@H]1O)C(=O)[C@]1(C#N)CC12CCC2
H23P200,ZINCnq00000r2f99,C[C@H](CN=[N+]=[N-])NC(=O)C[C@@H](C)N(C)C(=O)C=Cc1cc[nH]c1
