ligand_id,SMILES
00G_3FUJ_A_710,[H]c1c(OC([H])([H])C([H])([H])n2c([H])c([H])c([H])c2[H])c([H])c2c([H])c([H])n([H])c2c1[H]
02Z_3RZB_A_458,[H]c1c([H])c([H])c(N([H])C2=[S+]/C(=C(/[O-])N([H])[H])C(N([H])[H])=N2)c([H])c1[H]
03K_4EK5_A_300,[H]c1c([H])c(C(=O)N([H])c2nn([H])c(C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c([H])c1C(=O)N([H])[H]
03X_3U6H_A_1,[H]c1nc2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c(Oc2c([H])c([H])c(N([H])C(=O)c3c(C([H])([H])[H])n(C([H])([H])[H])n(-c4c([H])c([H])c([H])c([H])c4[H])c3=O)c([H])c2F)c1[H]
03Z_3RAK_A_497,[H]c1c([H])c([H])c(/C([O-])=C2\[S+]=C(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])N=C2N([H])[H])c([H])c1[H]
044_3U6I_A_1,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])n1c(C([H])([H])[H])c(C(=O)N([H])c2c([H])c([H])c(Oc3c([H])c([H])nc4c([H])c(OC([H])([H])[H])c([H])c([H])c34)c(F)c2[H])c(=O)n1-c1c([H])c([H])c([H])c([H])c1[H]
04Z_3RAL_A_499,[H]c1c([H])c(OC([H])([H])[H])c([H])c(/C([O-])=C2\[S+]=C(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])N=C2N([H])[H])c1[H]
06F_3UVR_A_361,[H]c1c([H])c(N([H])C(=O)N([H])c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nn2-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c(N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3=O)c1[H]
06R_4UI3_A_2115,[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c([H])c([H])c([H])c([H])c2c(=O)n1[H]
06Z_3RJC_A_450,[H]c1c([H])c([H])c(C(=O)c2sc(N([H])c3c([H])c([H])c([H])c(F)c3[H])nc2N([H])[H])c([H])c1[H]
07M_3TFQ_D_302,[H]c1nc(C#N)c(C([H])([H])Sc2c3c(c(C#N)c(=O)n2[H])C([H])([H])C([H])([H])OC3([H])[H])c([H])c1[H]
07V_3TXZ_A_402,[H]C([H])=C(C([H])([H])[H])[C@@]1([H])C([H])([H])C(=O)C(C([H])([H])[H])=C([H])C1([H])[H]
085_3TZM_A_1,[H]c1nc(-c2nc(-c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3[H])n([H])c2-c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)c([H])c([H])c1[H]
08C_4BU9_B_2165,[H]c1c([H])c(-c2nc3c([H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1OC([H])([H])[H]
08W_3UA8_A_264,[H]c1c(-n2c([H])nc(C(=O)N([H])C([H])([H])[H])c2[H])c(C(F)(F)F)c([H])c2c1c(=O)n(N([H])S(=O)(=O)C([H])([H])[H])c(=O)n2[H]
08Z_3RK7_A_467,[H]c1nc([H])c(/C([O-])=C2\[S+]=C(N([H])c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3[H])N=C2N([H])[H])c([H])c1[H]
09K_4FKI_A_301,[H]c1c([H])c(C([H])([H])C(=O)N([H])c2nn([H])c(C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c([H])c1OC(F)(F)F
09L_4TKG_C_1202,[H]c1c([H])c(C([H])([H])c2nn([H])c(=O)c3c([H])c([H])c([H])c([H])c23)c([H])c(C(=O)N2C([H])([H])C([H])([H])N(C(=O)C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c1F
09L_4TVJ_B_601,[H]c1c([H])c(C([H])([H])c2nn([H])c(=O)c3c([H])c([H])c([H])c([H])c23)c([H])c(C(=O)N2C([H])([H])C([H])([H])N(C(=O)C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c1F
09Z_3RK9_A_483,[H]c1nc([H])c(/C([O-])=C2\[S+]=C(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])N=C2N([H])[H])c([H])c1[H]
0A1_3QTC_A_811,[H]c1c([H])c(C([H])([H])[C@@]([H])(C(=O)[O-])[N+]([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
0A9_3QGO_A_407,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)OC([H])([H])[H])N([H])[H])c([H])c1[H]
0B1_3VV7_A_509,[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2c([H])c([H])c([H])c([C@]3([H])C([H])([H])[C@]3([H])c3nc(N([H])[H])n(C([H])([H])[H])c(=O)c3[H])c2[H])c1[H]
0CE_3L8P_A_2207,[H]C1=NC(=O)c2c3c(c4c(c21)c1c([H])c([C@@]2([H])OC([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1n4C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])c1nn(C([H])([H])[H])c([H])c1-3
0CK_3UZP_B_295,[H]c1nc(N([H])[H])nc(-c2c(-c3c([H])c([H])c(F)c([H])c3[H])nc([H])n2C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
0CO_3CS6_A_1,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])O[C@](C([H])([H])[H])([C@@]2([H])C([H])([H])C([H])([H])[C@@]3([H])/C(=C([H])/C([H])=C4\C(=C([H])[H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C4([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]23C([H])([H])[H])C1([H])[H]
0DF_3UWK_B_801,[H]c1nc2c(c([H])c1-c1c([H])c([H])c([H])c([H])c1[H])n(C([H])([H])[H])c(=O)n2[H]
0DJ_3UWO_A_800,[H]c1nc2c(c([H])c1-c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H])n(C([H])([H])[H])c(=O)n2[H]
0DN_3UXM_D_803,[H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])c(C([H])([H])[H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])F
0E0_5C5P_B_1202,[H]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])OC([H])([H])c2c(n([H])c(=O)c3c([H])c([H])c([H])c([H])c23)C1([H])[H]
0E1_5C5R_A_1202,[H]c1c2c(n([H])c(=O)c1C#N)C([H])([H])[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])OC2([H])[H]
0F5_3VBQ_A_555,[H]c1nc([H])c(N([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])[H])C([H])([H])C2([H])[H])nc1-c1c([H])c([H])c([H])c(C([H])([H])[C@@]2([H])SC([O-])=NC2=O)c1[H]
0FK_3VBV_A_1,[H]Oc1c([H])c([H])c([H])c2c([H])c([H])c(C(=O)N([H])[H])nc12
0G1_3V5L_A_701,[H]OC(c1c([H])c([H])c2c(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c(-c3nn([H])c4c([H])c([H])sc34)n([H])c2c1[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
0G2_3V8W_A_701,[H]OC(c1c([H])c([H])c2c([H])c(-c3nn([H])c4c([H])c(-c5c([H])c([H])c([H])c([H])c5[H])sc34)n([H])c2c1[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
0H5_3VEY_A_504,[H]c1nc(N([H])c2nn(C([H])([H])[H])c([H])c2[H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2n1
0H9_4FPE_A_701,[H]c1c([H])c(C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])S(=O)(=O)[O-])c([H])c([H])c1OC([H])([H])[H]
0HD_3V8S_A_501,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])C(=O)N([H])c2c([H])c([H])c3c(c([H])nn3[H])c2[H])c([H])c1[H]
0HY_4D8A_A_305,[H]N([H])c1nc2c(c(=O)c([C@]([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[H])nn2[H])c(=O)n1[H]
0J9_4GKH_L_302,[H]c1nc(N([H])[H])c2c(-c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)nn(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2n1
0J9_4K11_A_601,[H]c1nc(N([H])[H])c2c(-c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)nn(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2n1
0JF_4DCE_A_1501,[H]c1nc(N([H])c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])nc(N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C2([H])[H])c1[H]
0JJ_4DEG_A_1401,[H]c1nc2c([H])c(OC([H])([H])[H])c([H])nc2c(N([H])C([H])([H])c2nnc3c([H])c([H])c(-c4snc(C([H])([H])[H])c4[H])nn23)c1[H]
0JK_4DEH_A_1401,[H]c1nc2c([H])c([H])c(C([H])([H])n3nnc4c3C(=O)N(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C4([H])[H])c([H])c2c([H])c1[H]
